Symbol;Entrez;Genetype
CLCN6;1185;protein-coding
MRC2;9902;protein-coding
NME1-NME2;654364;protein-coding
TSPAN9;10867;protein-coding
BTBD7;55727;protein-coding
APBA3;9546;protein-coding
MKS1;54903;protein-coding
ABHD5;51099;protein-coding
ANOS1;3730;protein-coding
AKAP8L;26993;protein-coding
MBTD1;54799;protein-coding
UTP18;51096;protein-coding
RNF216;54476;protein-coding
TTC19;54902;protein-coding
PTBP1;5725;protein-coding
DPF1;8193;protein-coding
SYT7;9066;protein-coding
LARS2;23395;protein-coding
PIK3C2A;5286;protein-coding
PLAUR;5329;protein-coding
ANLN;54443;protein-coding
WIZ;58525;protein-coding
RABGAP1;23637;protein-coding
DCN;1634;protein-coding
QPCTL;54814;protein-coding
PPP5C;5536;protein-coding
CEP68;23177;protein-coding
MAP4K3;8491;protein-coding
LDAF1;57146;protein-coding
GABRA3;2556;protein-coding
BRCA1;672;protein-coding
ERCC1;2067;protein-coding
SEMA3B;7869;protein-coding
MBTPS2;51360;protein-coding
PRICKLE3;4007;protein-coding
LTF;4057;protein-coding
EXTL3;2137;protein-coding
ELOVL5;60481;protein-coding
ALOX5;240;protein-coding
KDM5D;8284;protein-coding
CALCOCO1;57658;protein-coding
UBR7;55148;protein-coding
MAP4K5;11183;protein-coding
EHD3;30845;protein-coding
PSMC4;5704;protein-coding
MAN2B2;23324;protein-coding
CLDN11;5010;protein-coding
SLC25A39;51629;protein-coding
MVP;9961;protein-coding
NUB1;51667;protein-coding
PGM3;5238;protein-coding
RWDD2A;112611;protein-coding
CLK1;1195;protein-coding
POLR3B;55703;protein-coding
ANGEL1;23357;protein-coding
RNF14;9604;protein-coding
DNASE1L1;1774;protein-coding
DDX11;1663;protein-coding
HEBP1;50865;protein-coding
GPRC5A;9052;protein-coding
CD6;923;protein-coding
TACC3;10460;protein-coding
UFL1;23376;protein-coding
POLA2;23649;protein-coding
ZC3H3;23144;protein-coding
CAPN1;823;protein-coding
ACP3;55;protein-coding
MDH1;4190;protein-coding
SLC30A9;10463;protein-coding
MTMR11;10903;protein-coding
COX15;1355;protein-coding
CCDC88C;440193;protein-coding
YAF2;10138;protein-coding
ZMYND11;10771;protein-coding
WAS;7454;protein-coding
BID;637;protein-coding
MATR3;9782;protein-coding
XYLT2;64132;protein-coding
RGPD5;84220;protein-coding
NUDCD3;23386;protein-coding
ISL1;3670;protein-coding
CHDH;55349;protein-coding
IL20RA;53832;protein-coding
GLT8D1;55830;protein-coding
ATP2C1;27032;protein-coding
SLC38A5;92745;protein-coding
RALBP1;10928;protein-coding
RUFY3;22902;protein-coding
CNTN1;1272;protein-coding
SLC11A1;6556;protein-coding
WWTR1;25937;protein-coding
AGPS;8540;protein-coding
STEEP1;63932;protein-coding
TTC27;55622;protein-coding
ZNF582;147948;protein-coding
PHLDB1;23187;protein-coding
CYP24A1;1591;protein-coding
SNAI2;6591;protein-coding
CD74;972;protein-coding
ZRANB1;54764;protein-coding
NCDN;23154;protein-coding
ADGRA2;25960;protein-coding
ZFP64;55734;protein-coding
MNAT1;4331;protein-coding
SAMD4A;23034;protein-coding
RUNX3;864;protein-coding
MRE11;4361;protein-coding
PLEKHB1;58473;protein-coding
SERPINB1;1992;protein-coding
SPAST;6683;protein-coding
NRXN3;9369;protein-coding
OSBPL5;114879;protein-coding
AQR;9716;protein-coding
CPS1;1373;protein-coding
FHL1;2273;protein-coding
RTF2;51507;protein-coding
NLRP2;55655;protein-coding
SLC45A4;57210;protein-coding
RNF10;9921;protein-coding
ZNF839;55778;protein-coding
ZDHHC6;64429;protein-coding
GRAMD1B;57476;protein-coding
RNH1;6050;protein-coding
NDUFS1;4719;protein-coding
RB1CC1;9821;protein-coding
ERP44;23071;protein-coding
ALAS1;211;protein-coding
BIRC3;330;protein-coding
AKAP11;11215;protein-coding
GLRX2;51022;protein-coding
SNAPC1;6617;protein-coding
DERA;51071;protein-coding
STRAP;11171;protein-coding
ABCC2;1244;protein-coding
DEF6;50619;protein-coding
PLEKHO1;51177;protein-coding
GCLM;2730;protein-coding
UBR2;23304;protein-coding
EHD2;30846;protein-coding
DEPDC1;55635;protein-coding
CCDC28A;25901;protein-coding
RRAGD;58528;protein-coding
HSF2;3298;protein-coding
PHF20;51230;protein-coding
HSD17B6;8630;protein-coding
NR1H3;10062;protein-coding
TYMP;1890;protein-coding
NCAPH2;29781;protein-coding
TOMM34;10953;protein-coding
SEC63;11231;protein-coding
KPNA6;23633;protein-coding
VIM;7431;protein-coding
FAS;355;protein-coding
RNASET2;8635;protein-coding
CD44;960;protein-coding
KCNG1;3755;protein-coding
AGPAT4;56895;protein-coding
SLAMF7;57823;protein-coding
BTN3A1;11119;protein-coding
MIPEP;4285;protein-coding
PRKCH;5583;protein-coding
IFNGR1;3459;protein-coding
B4GALT7;11285;protein-coding
SH2D2A;9047;protein-coding
VRK2;7444;protein-coding
TNFRSF1B;7133;protein-coding
VEZT;55591;protein-coding
POU2F2;5452;protein-coding
BRD9;65980;protein-coding
SNX1;6642;protein-coding
TBPL1;9519;protein-coding
BMAL2;56938;protein-coding
BCLAF1;9774;protein-coding
SLC39A9;55334;protein-coding
ANK1;286;protein-coding
TFB1M;51106;protein-coding
RABEP1;9135;protein-coding
HMGB3;3149;protein-coding
NUP160;23279;protein-coding
BAK1;578;protein-coding
IKZF2;22807;protein-coding
GRN;2896;protein-coding
FAM13B;51306;protein-coding
ARHGAP31;57514;protein-coding
CENPQ;55166;protein-coding
SARS1;6301;protein-coding
RANBP3;8498;protein-coding
ARID4A;5926;protein-coding
EIPR1;7260;protein-coding
PNPLA6;10908;protein-coding
IFT88;8100;protein-coding
ALG1;56052;protein-coding
ZCCHC8;55596;protein-coding
ABCF2;10061;protein-coding
CHPF2;54480;protein-coding
FUT8;2530;protein-coding
UBA6;55236;protein-coding
GAB2;9846;protein-coding
ATP6V0A1;535;protein-coding
PIAS1;8554;protein-coding
SLC4A7;9497;protein-coding
MAP2K3;5606;protein-coding
CLXN;79645;protein-coding
TMSB10;9168;protein-coding
ASTE1;28990;protein-coding
RNF19A;25897;protein-coding
PEX3;8504;protein-coding
GABARAPL2;11345;protein-coding
SH3YL1;26751;protein-coding
FAM136A;84908;protein-coding
VCL;7414;protein-coding
DEPDC1B;55789;protein-coding
DAPK2;23604;protein-coding
NSMAF;8439;protein-coding
ADSS2;159;protein-coding
TIMP2;7077;protein-coding
RFC1;5981;protein-coding
TBC1D23;55773;protein-coding
CUL3;8452;protein-coding
MYOM2;9172;protein-coding
ZZZ3;26009;protein-coding
USP2;9099;protein-coding
TUBG2;27175;protein-coding
RPL26L1;51121;protein-coding
NSUN2;54888;protein-coding
FBXO42;54455;protein-coding
MFAP3;4238;protein-coding
MRI1;84245;protein-coding
METTL1;4234;protein-coding
HOXC8;3224;protein-coding
AGA;175;protein-coding
PI4K2B;55300;protein-coding
BOD1L1;259282;protein-coding
MAT2B;27430;protein-coding
EDC4;23644;protein-coding
TRIO;7204;protein-coding
VCAN;1462;protein-coding
CLEC16A;23274;protein-coding
CDH1;999;protein-coding
MTREX;23517;protein-coding
DNAH5;1767;protein-coding
ZFYVE16;9765;protein-coding
RIPOR1;79567;protein-coding
RAI14;26064;protein-coding
SOX30;11063;protein-coding
PNKP;11284;protein-coding
PHLPP2;23035;protein-coding
SPDL1;54908;protein-coding
STAU2;27067;protein-coding
SLC66A1;54896;protein-coding
CTNS;1497;protein-coding
RTN4R;65078;protein-coding
PHF23;79142;protein-coding
INPP4A;3631;protein-coding
RAB27B;5874;protein-coding
PSMA4;5685;protein-coding
MYO16;23026;protein-coding
LSG1;55341;protein-coding
PARP3;10039;protein-coding
TNC;3371;protein-coding
THAP3;90326;protein-coding
RIPOR3;140876;protein-coding
TDP1;55775;protein-coding
AIFM2;84883;protein-coding
SPATA7;55812;protein-coding
MED17;9440;protein-coding
RETSAT;54884;protein-coding
CAPG;822;protein-coding
AP2S1;1175;protein-coding
USH2A;7399;protein-coding
ADAM28;10863;protein-coding
BARX2;8538;protein-coding
DCUN1D1;54165;protein-coding
JADE2;23338;protein-coding
LCP2;3937;protein-coding
TRIT1;54802;protein-coding
ADRB1;153;protein-coding
CUL7;9820;protein-coding
CTNNA1;1495;protein-coding
PHKA2;5256;protein-coding
HSPA5;3309;protein-coding
DSG2;1829;protein-coding
GEMIN8;54960;protein-coding
OFD1;8481;protein-coding
GPM6B;2824;protein-coding
MAGEC2;51438;protein-coding
WDR37;22884;protein-coding
YTHDC2;64848;protein-coding
CTPS2;56474;protein-coding
ATP6V1H;51606;protein-coding
POLR2B;5431;protein-coding
ATOSA;56204;protein-coding
ARAP2;116984;protein-coding
TPR;7175;protein-coding
CP;1356;protein-coding
KATNIP;23247;protein-coding
DTNBP1;84062;protein-coding
XK;7504;protein-coding
ANO2;57101;protein-coding
FERRY3;57102;protein-coding
SCML1;6322;protein-coding
WWC3;55841;protein-coding
MAP4;4134;protein-coding
GOPC;57120;protein-coding
USP28;57646;protein-coding
HDAC9;9734;protein-coding
TSPAN17;26262;protein-coding
NOP16;51491;protein-coding
CC2D2A;57545;protein-coding
RRM2B;50484;protein-coding
ZNF800;168850;protein-coding
SNX29;92017;protein-coding
MRPS10;55173;protein-coding
RSF1;51773;protein-coding
VPS13D;55187;protein-coding
CELF2;10659;protein-coding
FAM120A;23196;protein-coding
R3HDM1;23518;protein-coding
COL9A2;1298;protein-coding
KITLG;4254;protein-coding
ERCC8;1161;protein-coding
ADAMTS6;11174;protein-coding
H6PD;9563;protein-coding
VAMP3;9341;protein-coding
PER3;8863;protein-coding
UTS2;10911;protein-coding
TNFRSF9;3604;protein-coding
EPN3;55040;protein-coding
LTBP1;4052;protein-coding
RCN1;5954;protein-coding
ELN;2006;protein-coding
RFC2;5982;protein-coding
ARID1B;57492;protein-coding
CLPTM1L;81037;protein-coding
NEDD4L;23327;protein-coding
FOXP3;50943;protein-coding
PPP1R3F;89801;protein-coding
HEXB;3074;protein-coding
PTCD2;79810;protein-coding
JKAMP;51528;protein-coding
DKK3;27122;protein-coding
ARHGEF5;7984;protein-coding
NFE2L3;9603;protein-coding
MCUR1;63933;protein-coding
LIMA1;51474;protein-coding
LETMD1;25875;protein-coding
SLC4A8;9498;protein-coding
PTGER3;5733;protein-coding
TNIP3;79931;protein-coding
MAPK9;5601;protein-coding
BCAR1;9564;protein-coding
FHIP1B;84067;protein-coding
HERPUD1;9709;protein-coding
HOMER3;9454;protein-coding
RAD51;5888;protein-coding
POLQ;10721;protein-coding
PIK3CB;5291;protein-coding
CYBA;1535;protein-coding
THOC3;84321;protein-coding
HEBP2;23593;protein-coding
MPHOSPH9;10198;protein-coding
PLEKHA5;54477;protein-coding
PRSS8;5652;protein-coding
SIKE1;80143;protein-coding
RRP12;23223;protein-coding
FNIP2;57600;protein-coding
MSMO1;6307;protein-coding
TTC17;55761;protein-coding
FOXN3;1112;protein-coding
AKR7A2;8574;protein-coding
MRTO4;51154;protein-coding
NNAT;4826;protein-coding
USE1;55850;protein-coding
MCF2L2;23101;protein-coding
NRIP2;83714;protein-coding
LAMA3;3909;protein-coding
AP5M1;55745;protein-coding
ANAPC4;29945;protein-coding
KCNQ1;3784;protein-coding
TRAPPC3;27095;protein-coding
THRAP3;9967;protein-coding
PHPT1;29085;protein-coding
ENTPD2;954;protein-coding
ARID4B;51742;protein-coding
OPN3;23596;protein-coding
SDCCAG8;10806;protein-coding
PTPRN;5798;protein-coding
HHAT;55733;protein-coding
KIF1B;23095;protein-coding
FOXC1;2296;protein-coding
TBC1D22A;25771;protein-coding
SYNE2;23224;protein-coding
PLEKHH1;57475;protein-coding
ATP9A;10079;protein-coding
FAM168A;23201;protein-coding
RELT;84957;protein-coding
GALC;2581;protein-coding
NOP58;51602;protein-coding
SZRD1;26099;protein-coding
KCNH2;3757;protein-coding
CUL1;8454;protein-coding
FAM114A2;10827;protein-coding
CYFIP2;26999;protein-coding
TAB2;23118;protein-coding
GINM1;116254;protein-coding
EIF2AK2;5610;protein-coding
USP36;57602;protein-coding
KMT2C;58508;protein-coding
MCOLN3;55283;protein-coding
PUM2;23369;protein-coding
MRPL43;84545;protein-coding
ITIH4;3700;protein-coding
HPF1;54969;protein-coding
ZFR;51663;protein-coding
ZNF280C;55609;protein-coding
NPFFR2;10886;protein-coding
PHF21B;112885;protein-coding
TRAF1;7185;protein-coding
RC3H2;54542;protein-coding
IL17RB;55540;protein-coding
TRAF3IP2;10758;protein-coding
GYG2;8908;protein-coding
DCBLD2;131566;protein-coding
SOAT1;6646;protein-coding
PKP2;5318;protein-coding
MSH4;4438;protein-coding
GDI2;2665;protein-coding
PRDM1;639;protein-coding
ATG5;9474;protein-coding
TMCC3;57458;protein-coding
PITHD1;57095;protein-coding
MTA3;57504;protein-coding
USP13;8975;protein-coding
ATP11B;23200;protein-coding
LAMC2;3918;protein-coding
CDK14;5218;protein-coding
SEC61A1;29927;protein-coding
PPP1R12A;4659;protein-coding
RASGRF1;5923;protein-coding
CROCC;9696;protein-coding
POLR3E;55718;protein-coding
ATP2B4;493;protein-coding
ZC3H11A;9877;protein-coding
RIOK2;55781;protein-coding
YIPF1;54432;protein-coding
NDC1;55706;protein-coding
FLYWCH1;84256;protein-coding
UNKL;64718;protein-coding
PARP12;64761;protein-coding
ALDH18A1;5832;protein-coding
TARBP1;6894;protein-coding
GATB;5188;protein-coding
MXD1;4084;protein-coding
CDK17;5128;protein-coding
DNAJC25;548645;protein-coding
SLC2A3;6515;protein-coding
PSD;5662;protein-coding
CTDP1;9150;protein-coding
YBX3;8531;protein-coding
STYK1;55359;protein-coding
WNK1;65125;protein-coding
CCAR1;55749;protein-coding
OGFR;11054;protein-coding
GNA15;2769;protein-coding
CREB3L3;84699;protein-coding
PIGV;55650;protein-coding
PTPRU;10076;protein-coding
SNRNP40;9410;protein-coding
COL11A1;1301;protein-coding
QSER1;79832;protein-coding
MPC1;51660;protein-coding
ACAA1;30;protein-coding
BCAT1;586;protein-coding
HDAC7;51564;protein-coding
LZTS1;11178;protein-coding
SPAG4;6676;protein-coding
NCKAP1;10787;protein-coding
MRPS35;60488;protein-coding
SFSWAP;6433;protein-coding
TNK2;10188;protein-coding
MON2;23041;protein-coding
CDH3;1001;protein-coding
GPBP1;65056;protein-coding
DGAT2;84649;protein-coding
ZNF112;7771;protein-coding
CS;1431;protein-coding
LTK;4058;protein-coding
MRPS24;64951;protein-coding
ELMO2;63916;protein-coding
WAPL;23063;protein-coding
VMP1;81671;protein-coding
APPBP2;10513;protein-coding
POLD1;5424;protein-coding
EIF4B;1975;protein-coding
BICRA;29998;protein-coding
SPHK2;56848;protein-coding
RPL18;6141;protein-coding
CA11;770;protein-coding
ISOC2;79763;protein-coding
U2AF2;11338;protein-coding
EPN1;29924;protein-coding
MED29;55588;protein-coding
AHRR;57491;protein-coding
ZNF275;10838;protein-coding
MTMR1;8776;protein-coding
GPC1;2817;protein-coding
ADCK1;57143;protein-coding
HAGH;3029;protein-coding
RNF4;6047;protein-coding
CASP8;841;protein-coding
LIMCH1;22998;protein-coding
INTS13;55726;protein-coding
TM7SF3;51768;protein-coding
DLX3;1747;protein-coding
SPA17;53340;protein-coding
ST3GAL6;10402;protein-coding
ATP2C2;9914;protein-coding
NGFR;4804;protein-coding
CDON;50937;protein-coding
TAF2;6873;protein-coding
HIPK2;28996;protein-coding
TNPO3;23534;protein-coding
RFXANK;8625;protein-coding
TMEM161A;54929;protein-coding
LPAR2;9170;protein-coding
CTSA;5476;protein-coding
SUGP2;10147;protein-coding
SLC12A2;6558;protein-coding
SNX24;28966;protein-coding
CNN2;1265;protein-coding
ABCA7;10347;protein-coding
SNCAIP;9627;protein-coding
DDX20;11218;protein-coding
BTBD1;53339;protein-coding
FAR2;55711;protein-coding
BCAS1;8537;protein-coding
CHI3L2;1117;protein-coding
SBNO2;22904;protein-coding
PMS1;5378;protein-coding
HMG20B;10362;protein-coding
CALCRL;10203;protein-coding
TAF11;6882;protein-coding
ANKS1A;23294;protein-coding
AP3D1;8943;protein-coding
ZNF76;7629;protein-coding
NHERF2;9351;protein-coding
NTHL1;4913;protein-coding
BLTP3A;54887;protein-coding
GNAI3;2773;protein-coding
IPO5;3843;protein-coding
OAT;4942;protein-coding
WDR3;10885;protein-coding
PKN2;5586;protein-coding
WDR18;57418;protein-coding
TRAM2;9697;protein-coding
NTN1;9423;protein-coding
GLP2R;9340;protein-coding
MCM10;55388;protein-coding
DGKA;1606;protein-coding
ERBB3;2065;protein-coding
ANKRD44;91526;protein-coding
KARS1;3735;protein-coding
ADAT1;23536;protein-coding
PDIA5;10954;protein-coding
TBC1D22B;55633;protein-coding
NDUFB4;4710;protein-coding
SPEN;23013;protein-coding
MYLK;4638;protein-coding
ZC3H15;55854;protein-coding
MAP2K4;6416;protein-coding
PACC1;55248;protein-coding
SNAP91;9892;protein-coding
SLK;9748;protein-coding
CYB5R4;51167;protein-coding
COL17A1;1308;protein-coding
GSTO2;119391;protein-coding
SEC61A2;55176;protein-coding
TLE2;7089;protein-coding
ASB1;51665;protein-coding
FAM107B;83641;protein-coding
ME1;4199;protein-coding
TBC1D1;23216;protein-coding
CDK13;8621;protein-coding
MTHFD2;10797;protein-coding
SLC9A7;84679;protein-coding
FOXJ2;55810;protein-coding
YBX1;4904;protein-coding
PDE4A;5141;protein-coding
PPP2R5A;5525;protein-coding
ELAVL1;1994;protein-coding
TIE1;7075;protein-coding
DIP2B;57609;protein-coding
SMARCD1;6602;protein-coding
KDM4A;9682;protein-coding
NFYC;4802;protein-coding
ZMYND12;84217;protein-coding
SLC9A3;6550;protein-coding
NGEF;25791;protein-coding
ASPM;259266;protein-coding
ELOVL1;64834;protein-coding
SPI1;6688;protein-coding
POLR1H;30834;protein-coding
ZBTB11;27107;protein-coding
ATXN3;4287;protein-coding
GOLGA5;9950;protein-coding
FGFR2;2263;protein-coding
LRRC40;55631;protein-coding
ISOC1;51015;protein-coding
EML1;2009;protein-coding
TRMT11;60487;protein-coding
THUMPD1;55623;protein-coding
MSANTD3;91283;protein-coding
KIF26A;26153;protein-coding
ATG2B;55102;protein-coding
ARFGEF1;10565;protein-coding
ZFAT;57623;protein-coding
MTFR1;9650;protein-coding
STAG3;10734;protein-coding
FECH;2235;protein-coding
MYO9A;4649;protein-coding
DDX3Y;8653;protein-coding
PFKP;5214;protein-coding
IDI1;3422;protein-coding
SP100;6672;protein-coding
KLF6;1316;protein-coding
PLPP1;8611;protein-coding
NEO1;4756;protein-coding
TRAM1;23471;protein-coding
PHKA1;5255;protein-coding
TNFRSF1A;7132;protein-coding
CACNB1;782;protein-coding
EVI5;7813;protein-coding
STOML1;9399;protein-coding
PKM;5315;protein-coding
DHX29;54505;protein-coding
DNTTIP2;30836;protein-coding
METTL22;79091;protein-coding
TP53BP1;7158;protein-coding
TRO;7216;protein-coding
RRP15;51018;protein-coding
RHOA;387;protein-coding
DHX8;1659;protein-coding
PRKCZ;5590;protein-coding
IARS2;55699;protein-coding
SYT1;6857;protein-coding
NAV3;89795;protein-coding
IDH3G;3421;protein-coding
ROGDI;79641;protein-coding
ATP2B3;492;protein-coding
ROCK1;6093;protein-coding
CBFB;865;protein-coding
PDK3;5165;protein-coding
HYAL2;8692;protein-coding
HDAC4;9759;protein-coding
RASSF1;11186;protein-coding
FGFR3;2261;protein-coding
IFI35;3430;protein-coding
HEATR6;63897;protein-coding
COASY;80347;protein-coding
PLEKHH3;79990;protein-coding
MEF2A;4205;protein-coding
OTUD5;55593;protein-coding
TFE3;7030;protein-coding
TBC1D25;4943;protein-coding
ACSL4;2182;protein-coding
INPP5A;3632;protein-coding
GPKOW;27238;protein-coding
GRIPAP1;56850;protein-coding
FTSJ1;24140;protein-coding
PRR11;55771;protein-coding
REEP1;65055;protein-coding
ATP11A;23250;protein-coding
POLR1A;25885;protein-coding
LAPTM4A;9741;protein-coding
TTC7A;57217;protein-coding
IP6K2;51447;protein-coding
STON1-GTF2A1L;286749;protein-coding
SRBD1;55133;protein-coding
KIF2A;3796;protein-coding
RASGRP2;10235;protein-coding
PSME4;23198;protein-coding
IFT80;57560;protein-coding
SIRT2;22933;protein-coding
ERLEC1;27248;protein-coding
PPP2R5B;5526;protein-coding
PYGM;5837;protein-coding
PITX1;5307;protein-coding
MAST4;375449;protein-coding
ADGRF5;221395;protein-coding
SDK2;54549;protein-coding
NUP133;55746;protein-coding
NUCKS1;64710;protein-coding
VPS35;55737;protein-coding
DNAJA2;10294;protein-coding
BCL3;602;protein-coding
KCNAB2;8514;protein-coding
ABCC9;10060;protein-coding
GAL;51083;protein-coding
CLEC2D;29121;protein-coding
FUNDC1;139341;protein-coding
MAOB;4129;protein-coding
RORA;6095;protein-coding
TGFBR3;7049;protein-coding
PLA2G10;8399;protein-coding
HES2;54626;protein-coding
ATP1B3;483;protein-coding
NEDD4;4734;protein-coding
PIGB;9488;protein-coding
MAPK6;5597;protein-coding
GNB5;10681;protein-coding
RAB27A;5873;protein-coding
HDHD5;27440;protein-coding
UFD1;7353;protein-coding
LRP6;4040;protein-coding
